Series Name,Series Code,Country Name,Country Code,2003 [YR2003],2009 [YR2009],2018 [YR2018]
Population density (people per sq. km of land area),EN.POP.DNST,"Venezuela, RB",VEN,28.9684530355422,31.7793877898078,32.7307919052208
Population density (people per sq. km of land area),EN.POP.DNST,Vietnam,VNM,265.429277259974,280.879324023608,308.125245912213
Population density (people per sq. km of land area),EN.POP.DNST,Virgin Islands (U.S.),VIR,310.017142857143,309.728571428571,305.648571428571
Population density (people per sq. km of land area),EN.POP.DNST,West Bank and Gaza,PSE,524.08122923588,612.807142857143,758.984551495017
Population density (people per sq. km of land area),EN.POP.DNST,"Yemen, Rep.",YEM,35.9584824895354,42.6472337443415,53.9778529083092
Population density (people per sq. km of land area),EN.POP.DNST,Zambia,ZMB,15.1424460915536,17.7768587148065,23.3414789007116
Population density (people per sq. km of land area),EN.POP.DNST,Zimbabwe,ZWE,30.9738244797725,32.381977510663,37.3245909267158
Population density (people per sq. km of land area),EN.POP.DNST,Arab World,ARB,26.8008119265305,30.8585805304216,37.3723653654038
Population density (people per sq. km of land area),EN.POP.DNST,Caribbean small states,CSS,16.4282351488206,17.1062171174509,18.1770161788317
Population density (people per sq. km of land area),EN.POP.DNST,Central Europe and the Baltics,CEB,96.6432396840155,94.9175806141066,92.7664366303472
Population density (people per sq. km of land area),EN.POP.DNST,Early-demographic dividend,EAR,78.627436696627,86.5204521234066,98.13836364042
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific,EAS,86.0961515258762,89.8873096080648,95.4316055341949
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific (excluding high income),EAP,117.201652322607,122.663160761346,130.810431457567
Population density (people per sq. km of land area),EN.POP.DNST,East Asia & Pacific (IDA & IBRD countries),TEA,116.600129259481,122.047165804884,130.185452991291
Population density (people per sq. km of land area),EN.POP.DNST,Euro area,EMU,121.688554559206,125.307388744131,127.582277673283
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia,ECS,31.5850106589473,32.2558518488978,33.4968853034031
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia (excluding high income),ECA,17.3187818100442,17.5370621188221,18.4773754089394
Population density (people per sq. km of land area),EN.POP.DNST,Europe & Central Asia (IDA & IBRD countries),TEC,18.894961357042,19.1078066610379,20.0172566615243
Population density (people per sq. km of land area),EN.POP.DNST,European Union,EUU,101.973034667686,103.998735238995,105.406603575888
Population density (people per sq. km of land area),EN.POP.DNST,Fragile and conflict affected situations,FCS,28.0360514757394,32.4717037235725,39.8693125353373
Population density (people per sq. km of land area),EN.POP.DNST,Heavily indebted poor countries (HIPC),HPC,29.5549850006049,34.9362307275387,44.8957816454125
Population density (people per sq. km of land area),EN.POP.DNST,High income,HIC,31.2752918328021,32.734827446523,34.4377658355898
Population density (people per sq. km of land area),EN.POP.DNST,IBRD only,IBD,59.3331884770082,63.1097079626911,68.7859051970979
Population density (people per sq. km of land area),EN.POP.DNST,IDA & IBRD total,IBT,56.580096892867,61.2684111696766,68.7084518843392
Population density (people per sq. km of land area),EN.POP.DNST,IDA blend,IDB,65.8839336445146,75.7641972054226,93.3256218287322
Population density (people per sq. km of land area),EN.POP.DNST,IDA only,IDX,42.8952135017739,49.3790385111445,60.2621873819374
Population density (people per sq. km of land area),EN.POP.DNST,IDA total,IDA,48.6086766414823,55.937158957484,68.4840897212872
Population density (people per sq. km of land area),EN.POP.DNST,Late-demographic dividend,LTE,46.8984258894489,48.7116489733576,51.408720555305
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & Caribbean,LCN,27.07771680562,29.1264534853393,32.0057333680836
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & Caribbean (excluding high income),LAC,27.02158232004,29.1020894416011,32.0214614597141
Population density (people per sq. km of land area),EN.POP.DNST,Latin America & the Caribbean (IDA & IBRD countries),TLA,26.4415694321207,28.503372519351,31.4141444422749
